   TESTNO,               DATE,     RANK,   CODE,                                             TYPE,   LOAD,SPINDLE,  RFVcw,RFVcw1H,RFVcw2H,RFVcw3H,  LFVcw,LFVcw1H,LFVcw2H,LFVcw3H,  LFDcw,  RFVcc,RFVcc1H,RFVcc2H,RFVcc3H,  LFVcc,LFVcc1H,LFVcc2H,LFVcc3H,  LFDcc,    CON,    PLY,   RROt,   RROc, RROc1H,   RROb,   LROt, LROt1H,   LROb, LROb1H, BULGEt, BULGEb,  DENTt,  DENTb, DRRAvg,RFVcwRANK,RFVcw1HRANK,LFVcwRANK,LFVcw1HRANK,LFDcwRANK,RFVccRANK,RFVcc1HRANK,LFVccRANK,LFVcc1HRANK,LFDccRANK,CONRANK,PLYRANK,RROtRANK,RROcRANK,RROc1HRANK,RRObRANK,LROtRANK,LROt1HRANK,LRObRANK,LROb1HRANK,BULGEtRANK,BULGEbRANK,DENTtRANK,DENTbRANK,DRRAvgRank,CONTEST,LROtTEST,LRObTEST,RROcTEST,
    438,2018/06/27  21:52:55,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    7.3,    4.6,    0.8,    0.4,    2.2,    1.1,    0.2,    0.6,   14.3,    7.9,    4.9,    1.2,    0.4,    1.7,    1.2,    0.4,    0.6,  -14.8,   -0.2,   14.5,   0.00,   0.21,   0.15,   0.00,   0.00,   0.00,   0.30,   0.21,   0.00,   0.06,   0.00,   0.04, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    439,2018/06/27  21:53:22,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    6.5,    5.2,    1.7,    0.9,    2.2,    1.4,    0.6,    0.5,   13.8,    6.4,    5.3,    2.0,    0.5,    2.5,    1.6,    1.2,    0.2,  -13.8,    0.0,   13.8,   0.00,   0.29,   0.35,   0.00,   0.00,   0.00,   0.46,   0.15,   0.00,   0.21,   0.00,   0.23, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    440,2018/06/27  21:54:03,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.6,    1.9,    1.9,    0.3,    3.2,    2.7,    0.7,    0.4,   15.6,    4.2,    1.7,    1.8,    0.6,    3.6,    2.4,    1.4,    0.2,  -13.4,    1.1,   14.5,   0.00,   0.26,   0.10,   0.00,   0.00,   0.00,   0.55,   0.43,   0.00,   0.06,   0.00,   0.04, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    441,2018/06/27  21:54:30,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    5.4,    3.3,    0.7,    1.6,    2.4,    2.0,    0.5,    0.1,   13.9,    5.5,    3.4,    0.4,    1.4,    2.0,    1.5,    0.6,    0.4,  -15.2,   -0.7,   14.6,   0.00,   0.17,   0.14,   0.00,   0.00,   0.00,   0.34,   0.42,   0.00,   0.09,   0.00,   0.03, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    442,2018/06/27  21:54:57,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.7,    3.5,    0.4,    0.4,    3.2,    2.3,    0.5,    0.7,   14.4,    5.5,    3.4,    0.6,    0.4,    2.1,    1.4,    0.4,    0.7,  -13.9,    0.3,   14.2,   0.00,   0.15,   0.09,   0.00,   0.00,   0.00,   0.53,   0.28,   0.00,   0.23,   0.00,   0.20, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    443,2018/06/27  21:55:25,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    4.5,    1.5,    2.3,    1.0,    1.6,    0.9,    0.6,    0.4,   14.0,    4.8,    1.5,    1.8,    1.1,    1.8,    1.4,    0.4,    0.2,  -13.6,    0.2,   13.8,   0.00,   0.16,   0.09,   0.00,   0.00,   0.00,   0.43,   0.16,   0.00,   0.18,   0.00,   0.19, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    444,2018/06/27  21:55:51,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    3.0,    1.0,    0.9,    1.2,    1.6,    1.0,    0.5,    0.5,   14.1,    3.4,    1.0,    1.0,    1.1,    1.2,    0.5,    0.2,    0.5,  -14.2,    0.0,   14.2,   0.00,   0.19,   0.18,   0.00,   0.00,   0.00,   0.46,   0.15,   0.00,   0.20,   0.00,   0.23, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    445,2018/06/27  21:56:18,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     60,    5.0,    1.7,    2.0,    0.6,    2.3,    1.6,    0.1,    0.7,   15.0,    5.1,    1.7,    2.6,    0.3,    1.5,    0.8,    0.5,    0.3,  -15.4,   -0.2,   15.2,   0.00,   0.26,   0.19,   0.00,   0.00,   0.00,   0.42,   0.55,   0.00,   0.04,   0.00,   0.07, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    446,2018/06/27  21:57:01,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.4,    2.5,    1.1,    0.4,    3.0,    2.4,    0.4,    0.7,   13.7,    5.7,    2.9,    1.3,    0.5,    1.3,    0.9,    0.4,    0.3,  -14.2,   -0.2,   14.0,   0.00,   0.32,   0.18,   0.00,   0.00,   0.00,   0.46,   0.21,   0.00,   0.23,   0.00,   0.23, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    447,2018/06/27  21:57:28,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.6,    3.3,    1.8,    0.3,    3.6,    3.1,    1.0,    0.2,   14.6,    4.7,    2.4,    1.6,    0.3,    3.2,    2.6,    0.3,    0.6,  -14.7,   -0.1,   14.6,   0.00,   0.24,   0.16,   0.00,   0.00,   0.00,   0.38,   0.03,   0.00,   0.21,   0.00,   0.21, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    448,2018/06/27  21:57:55,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    3.6,    1.7,    0.5,    0.7,    3.6,    2.5,    0.9,    0.4,   15.3,    4.3,    2.4,    0.6,    0.5,    1.6,    0.6,    0.8,    0.5,  -14.9,    0.2,   15.1,   0.00,   0.13,   0.06,   0.00,   0.00,   0.00,   0.36,   0.19,   0.00,   0.11,   0.00,   0.14, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    449,2018/06/27  21:58:21,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.3,    2.4,    2.6,    0.8,    3.6,    2.9,    1.0,    0.4,   13.6,    4.8,    1.4,    2.9,    0.4,    1.5,    1.0,    0.2,    0.2,  -15.2,   -0.8,   14.4,   0.00,   0.19,   0.07,   0.00,   0.00,   0.00,   0.49,   0.14,   0.00,   0.21,   0.00,   0.19, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    450,2018/06/27  21:58:50,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    6.9,    4.0,    2.6,    0.6,    2.7,    1.8,    0.9,    0.6,   15.1,    6.7,    4.3,    2.0,    0.1,    1.7,    0.3,    1.4,    0.2,  -14.9,    0.1,   15.0,   0.00,   0.30,   0.19,   0.00,   0.00,   0.00,   0.33,   0.24,   0.00,   0.16,   0.00,   0.08, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    451,2018/06/27  21:59:30,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    9.0,    5.3,    1.8,    1.4,    1.9,    1.1,    0.7,    0.2,   14.7,    8.5,    5.4,    1.2,    1.1,    1.4,    0.3,    0.4,    0.3,  -16.9,   -1.1,   15.8,   0.00,   0.23,   0.15,   0.00,   0.00,   0.00,   0.40,   0.20,   0.00,   0.20,   0.00,   0.23, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    452,2018/06/27  21:59:57,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    6.6,    4.3,    1.4,    0.3,    2.6,    1.8,    0.7,    0.1,   13.0,    5.8,    3.8,    1.5,    0.7,    2.1,    0.6,    1.0,    0.5,  -16.2,   -1.6,   14.6,   0.00,   0.12,   0.07,   0.00,   0.00,   0.00,   0.47,   0.09,   0.00,   0.24,   0.00,   0.20, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    453,2018/06/27  22:00:25,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.4,    2.3,    2.1,    1.1,    3.5,    2.7,    0.9,    0.8,   15.2,    4.3,    2.3,    1.9,    1.1,    2.5,    1.5,    0.2,    0.7,  -14.2,    0.5,   14.7,   0.00,   0.22,   0.12,   0.00,   0.00,   0.00,   0.49,   0.17,   0.00,   0.10,   0.00,   0.11, 326.23,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    454,2018/06/27  22:00:51,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    2.9,    0.8,    0.4,    1.2,    2.8,    1.5,    1.3,    0.6,   14.5,    3.1,    0.4,    0.6,    1.0,    2.6,    1.8,    1.2,    0.6,  -15.3,   -0.4,   14.9,   0.00,   0.13,   0.08,   0.00,   0.00,   0.00,   0.41,   0.05,   0.00,   0.19,   0.00,   0.22, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    455,2018/06/27  22:01:19,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.5,    4.7,    1.1,    1.4,    1.4,    0.9,    0.5,    0.2,   14.8,    5.3,    4.4,    0.9,    1.2,    1.5,    0.8,    0.2,    0.6,  -15.2,   -0.2,   15.0,   0.00,   0.14,   0.10,   0.00,   0.00,   0.00,   0.37,   0.27,   0.00,   0.13,   0.00,   0.08, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    456,2018/06/27  22:01:45,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.6,    0.7,    1.9,    1.8,    2.1,    1.0,    1.0,    0.9,   14.0,    3.6,    0.4,    1.7,    1.5,    1.5,    0.4,    0.6,    0.5,  -15.6,   -0.8,   14.8,   0.00,   0.20,   0.11,   0.00,   0.00,   0.00,   0.60,   0.24,   0.00,   0.30,   0.00,   0.11, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    457,2018/06/27  22:03:14,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     60,    4.3,    2.5,    1.0,    0.5,    2.2,    1.2,    1.0,    0.6,   13.1,    3.6,    1.7,    0.6,    0.4,    2.3,    1.6,    0.4,    0.5,  -13.8,   -0.4,   13.4,   0.00,   0.29,   0.09,   0.00,   0.00,   0.00,   0.64,   0.30,   0.00,   0.22,   0.00,   0.23, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    458,2018/06/27  22:03:40,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    8.9,    3.2,    1.5,    0.9,    2.3,    1.1,    1.2,    0.4,   12.6,    7.8,    2.8,    0.9,    0.7,    1.6,    1.1,    0.7,    0.3,  -13.7,   -0.5,   13.2,   0.00,   0.45,   0.25,   0.00,   0.00,   0.00,   0.25,   0.08,   0.00,   0.11,   0.00,   0.08, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    459,2018/06/27  22:04:08,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    5.4,    1.9,    2.4,    0.6,    1.9,    0.8,    0.3,    0.8,   13.9,    4.9,    1.3,    2.1,    0.4,    2.3,    1.5,    0.6,    0.9,  -13.3,    0.3,   13.6,   0.00,   0.23,   0.13,   0.00,   0.00,   0.00,   0.49,   0.18,   0.00,   0.20,   0.00,   0.21, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    460,2018/06/27  22:04:35,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.1,    3.6,    1.5,    1.2,    3.4,    2.4,    1.2,    0.5,   14.0,    6.5,    3.7,    1.6,    1.2,    3.5,    2.5,    0.7,    0.9,  -14.3,   -0.1,   14.2,   0.00,   0.32,   0.17,   0.00,   0.00,   0.00,   0.36,   0.20,   0.00,   0.16,   0.00,   0.20, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    461,2018/06/27  22:05:03,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.2,    2.3,    2.0,    0.2,    2.9,    2.2,    0.3,    0.8,   15.7,    4.8,    2.6,    1.7,    0.2,    1.4,    1.0,    0.1,    0.2,  -13.3,    1.2,   14.5,   0.00,   0.23,   0.15,   0.00,   0.00,   0.00,   0.52,   0.02,   0.00,   0.28,   0.00,   0.30, 326.23,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    462,2018/06/27  22:05:30,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.0,    2.5,    1.1,    2.2,    2.2,    1.7,    0.8,    0.2,   15.0,    5.4,    3.0,    1.3,    1.9,    1.5,    0.6,    1.0,    0.3,  -13.1,    1.0,   14.1,   0.00,   0.25,   0.14,   0.00,   0.00,   0.00,   0.66,   0.30,   0.00,   0.13,   0.00,   0.13, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    463,2018/06/27  22:06:11,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    6.8,    4.7,    1.0,    0.9,    2.4,    1.1,    1.1,    0.0,   13.7,    5.9,    4.0,    0.5,    0.8,    2.7,    1.6,    1.2,    0.1,  -14.6,   -0.5,   14.1,   0.00,   0.30,   0.12,   0.00,   0.00,   0.00,   0.48,   0.16,   0.00,   0.26,   0.00,   0.25, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    464,2018/06/27  22:06:38,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.4,    3.3,    1.7,    0.4,    1.6,    0.9,    0.8,    0.3,   12.5,    5.2,    2.9,    1.6,    0.3,    1.2,    0.4,    0.6,    0.4,  -15.1,   -1.3,   13.8,   0.00,   0.29,   0.11,   0.00,   0.00,   0.00,   0.27,   0.28,   0.00,   0.07,   0.00,   0.04, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    465,2018/06/27  22:07:05,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.4,    1.2,    2.0,    0.7,    1.8,    1.1,    0.4,    0.5,   14.9,    5.2,    1.1,    1.8,    0.8,    1.9,    1.1,    0.7,    0.6,  -14.9,    0.0,   14.9,   0.00,   0.23,   0.12,   0.00,   0.00,   0.00,   0.36,   0.50,   0.00,   0.10,   0.00,   0.05, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    466,2018/06/27  22:07:32,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    5.6,    1.6,    1.6,    0.9,    3.1,    2.9,    0.2,    0.6,   15.3,    5.8,    2.3,    1.4,    1.1,    2.8,    2.0,    0.0,    0.5,  -14.9,    0.2,   15.1,   0.00,   0.12,   0.06,   0.00,   0.00,   0.00,   0.41,   0.14,   0.00,   0.21,   0.00,   0.23, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    467,2018/06/27  22:07:59,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.4,    2.1,    0.7,    1.5,    2.5,    2.2,    0.2,    0.2,   14.7,    4.6,    2.6,    0.6,    1.4,    1.9,    1.6,    0.6,    0.5,  -15.0,   -0.1,   14.8,   0.00,   0.11,   0.03,   0.00,   0.00,   0.00,   0.41,   0.37,   0.00,   0.04,   0.00,   0.04, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    468,2018/06/27  22:08:26,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.8,    3.1,    0.8,    0.6,    1.0,    0.4,    0.1,    0.4,   16.1,    4.2,    2.7,    0.9,    0.4,    1.3,    0.3,    0.3,    0.8,  -14.9,    0.6,   15.5,   0.00,   0.19,   0.14,   0.00,   0.00,   0.00,   0.36,   0.32,   0.00,   0.05,   0.00,   0.04, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    469,2018/06/27  22:10:01,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    6.3,    4.5,    1.8,    1.4,    2.6,    1.7,    0.6,    0.4,   14.1,    5.2,    3.4,    1.3,    1.5,    3.1,    2.7,    0.4,    0.4,  -16.1,   -1.0,   15.1,   0.00,   0.18,   0.08,   0.00,   0.00,   0.00,   0.40,   0.35,   0.00,   0.04,   0.00,   0.06, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    470,2018/06/27  22:10:27,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.9,    4.2,    2.2,    0.4,    4.2,    3.3,    0.3,    0.8,   13.3,    5.6,    3.6,    2.3,    0.5,    2.7,    2.1,    0.8,    0.5,  -15.7,   -1.2,   14.5,   0.00,   0.14,   0.08,   0.00,   0.00,   0.00,   0.48,   0.27,   0.00,   0.19,   0.00,   0.24, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    471,2018/06/27  22:10:54,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    6.4,    5.7,    0.8,    0.7,    1.9,    1.2,    0.4,    0.6,   14.4,    6.0,    5.1,    0.9,    0.7,    2.3,    1.3,    0.9,    0.4,  -15.5,   -0.6,   14.9,   0.00,   0.32,   0.28,   0.00,   0.00,   0.00,   0.43,   0.47,   0.00,   0.07,   0.00,   0.04, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    472,2018/06/27  22:11:22,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.5,    2.3,    1.5,    0.9,    1.8,    0.9,    1.0,    0.4,   13.1,    6.7,    3.3,    1.8,    1.0,    1.4,    0.8,    0.6,    0.6,  -14.6,   -0.7,   13.8,   0.00,   0.20,   0.15,   0.00,   0.00,   0.00,   0.28,   0.19,   0.00,   0.10,   0.00,   0.04, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    473,2018/06/27  22:11:49,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    7.2,    3.9,    3.1,    1.2,    1.6,    0.8,    0.7,    0.5,   15.4,    6.6,    3.5,    3.1,    0.9,    2.2,    1.1,    1.0,    0.4,  -15.2,    0.1,   15.3,   0.00,   0.17,   0.09,   0.00,   0.00,   0.00,   0.45,   0.20,   0.00,   0.23,   0.00,   0.26, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    474,2018/06/27  22:12:16,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.3,    3.4,    1.9,    0.7,    1.8,    1.3,    0.6,    0.2,   13.5,    6.7,    4.1,    1.4,    0.7,    2.3,    2.0,    0.7,    0.1,  -14.1,   -0.3,   13.8,   0.00,   0.16,   0.13,   0.00,   0.00,   0.00,   0.41,   0.09,   0.00,   0.16,   0.00,   0.16, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    475,2018/06/27  22:12:57,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.9,    1.4,    1.4,    0.6,    2.7,    2.3,    0.5,    0.6,   11.8,    6.4,    1.2,    1.5,    0.7,    2.3,    1.7,    0.5,    0.4,  -14.3,   -1.2,   13.0,   0.00,   0.37,   0.20,   0.00,   0.00,   0.00,   0.42,   0.32,   0.00,   0.10,   0.00,   0.04, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    476,2018/06/27  22:13:24,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.4,    2.1,    1.8,    1.2,    3.1,    2.2,    0.6,    0.5,   12.4,    4.5,    2.0,    1.7,    1.3,    2.4,    1.0,    0.7,    0.4,  -14.5,   -1.1,   13.4,   0.00,   0.26,   0.17,   0.00,   0.00,   0.00,   0.51,   0.43,   0.00,   0.19,   0.00,   0.20, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    477,2018/06/27  22:13:52,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    6.4,    3.7,    1.7,    0.7,    2.0,    1.1,    0.4,    0.3,   13.8,    4.5,    2.4,    1.4,    0.5,    1.9,    1.2,    0.6,    0.3,  -15.2,   -0.7,   14.5,   0.00,   0.31,   0.23,   0.00,   0.00,   0.00,   0.55,   0.06,   0.00,   0.33,   0.00,   0.33, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    478,2018/06/27  22:14:19,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.7,    4.2,    0.6,    0.6,    3.1,    3.2,    0.5,    0.6,   14.8,    4.7,    3.9,    1.0,    0.6,    2.9,    2.2,    0.4,    0.3,  -14.9,    0.0,   14.8,   0.00,   0.24,   0.25,   0.00,   0.00,   0.00,   0.64,   0.28,   0.00,   0.30,   0.00,   0.20, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    479,2018/06/27  22:14:45,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.5,    3.9,    1.0,    0.4,    3.4,    2.1,    0.7,    0.2,   14.0,    5.9,    4.7,    0.7,    0.4,    2.0,    1.1,    0.5,    0.5,  -14.9,   -0.4,   14.4,   0.00,   0.36,   0.29,   0.00,   0.00,   0.00,   0.33,   0.14,   0.00,   0.07,   0.00,   0.06, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    480,2018/06/27  22:15:14,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    7.8,    3.8,    2.5,    1.5,    1.6,    0.9,    0.6,    0.4,   13.1,    7.2,    3.5,    2.5,    1.2,    1.9,    1.0,    0.9,    0.4,  -15.9,   -1.4,   14.5,   0.00,   0.27,   0.20,   0.00,   0.00,   0.00,   0.45,   0.11,   0.00,   0.28,   0.00,   0.26, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
